Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Tetris Battle Gaiden,テトリスバトル 武闘外伝,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-4G,1993-12-24,Puzzle,Tetris
Tetris Flash,テトリスフラッシュ,"ビー・ピー・エス / 任天堂 / Bullet-Proof Software / Nintendo, Elorg",SHVC-27,1994-07-08,Puzzle,Tetris
Tetsuwan Atom,鉄腕アトム,"バンプレスト, ザムス / Banpresto, Zamuse",SHVC-ZB,1994-02-18,Platformer,
The Addams Family,アダムス・ファミリー,ミサワエンターテインメント / Misawa Entertainment,SHVC-AF / SNS-AF,1992-10-23 / 1992-01-01,Platformer,
The Adventures of the Rocketeer,ロケッティア,アイ・ジー・エス / IGS (Information Global Service) / Novalogic,SHVC-RK,1992-02-28,Aventure,
The Amazing Spider-Man - Lethal Foes,スパイダーマン リーサルフォーズ,エポック社 / Epoch,SHVC-ASPJ-JPN,1995-03-17,Beat 'em All,
The Atlas Renaissance Voyager,ジ・アトラス,パック・イン・ビデオ / アートディンク / Pack-in-Video / Artdink,SHVC-AATJ-JPN,1995-03-24,Strategy,
The Blue Crystal Rod,ザ ブルークリスタルロッド,ナムコ / ゲームスタジオ / Namcot / Game Studio,SHVC-NU,1994-03-25,RPG,First Person
The Blues Brothers,ブルースブラザーズ,ケムコ（コトブキシステム） / Kemco,SHVC-B6 / SNS-B6,1993-03-26 / 1993-06-01,Platformer,
The Chessmaster,チェスマスター,アルトロン / Altron / The Software Toolworks,SHVC-CH / SNS-CH,1995-02-17 / 1991-09-01,Table Game,Chess
The Combatribes,コンバットライブス,テクノスジャパン / Technos Japan,SHVC-CR / SNS-CR,1992-12-23 / 1993-03-01,Beat 'em All,
The Firemen,ザ・ファイヤーメン,ヒューマン / Human,SHVC-AFMJ-JPN,1994-09-09,RPG,Adventure
The Flintstones - The Treasure of Sierra Madrock,ザ・フリントストーンズ,タイトー / Taito,SHVC-9F,1994-08-12,Platformer,
The Game of Life - Super Jinsei Game,SUPER 人生ゲーム,タカラ / ダイナマイト / Takara / Dynamite,SHVC-LG,1994-03-18,Table Game,
The Game of Life - Super Jinsei Game 2,SUPER人生ゲーム2,タカラ / Takara,SHVC-AL2J-JPN,1995-09-08,Table Game,
The Game of Life - Super Jinsei Game 3,スーパー人生ゲーム3,タカラ / Takara,SHVC-A3XJ-JPN,1996-11-29,Table Game,
The Hunt For Red October,レッド・オクトーバー,アルトロン / Altron,SHVC-RO / SNS-RO,1993-10-01 / 1993-01-01,SHMUP,Horizontal
The Incredible Crash Dummies - Dr. Sabu o Sukuidase,クラッシュ・ダミー 〜Dr.サブを救い出せ〜,アクレイムジャパン / Acclaim Japan / Ljn / Gray Matter,SHVC-C7,1994-09-30,Platformer,
The Jungle Book,ジャングルブック,ヴァージンゲーム / Virgin Interactive,SHVC-7K / SNS-7K,1994-07-15 / 1994-07-14,Platformer,
The King of Dragons,ザ・キングオブドラゴンズ,カプコン / Capcom,SHVC-EI / SNS-EI,1994-03-04 / 1994-01-01,Beat 'em All,
The King of Rally,ザ・キング・オブ・ラリー パリ−モスクワ−北京,メルダック / カゼ / Meldac / Kaze,SHVC-KP,1992-12-28,Sports,Off Road Racing
The Last Battle,ザ・ラストバトル,"テイチク / アトリエドゥーブル / Teichiku / Atelier Double, POWWOW",SHVC-3T,1994-12-02,RPG,
The Lion King,ライオンキング,ヴァージンゲーム / Virgin Games / Westwood Studios,SHVC-ALKJ-JPN / SNS-ALKE-USA,1994-12-09,Platformer,
The Mahjong Touhaiden,The 麻雀 闘牌伝,ビデオシステム / Video System,SHVC-TY,1993-04-16,Table Game,Mahjong
The Mask,マスク,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment / THQ,SHVC-AV9J-JPN / SNS-AMGE-USA,1996-12-27 / 1995-01-01,Platformer,
The Ninja Warriors Again,ザ・ニンジャウォーリアーズ アゲイン,タイトー/ナツメ / Taito / Natsume,SHVC-NI,1994-01-28,Beat 'em All,
The Ring: Final Knockout,ファイナル ノックアウト,パック・イン・ビデオ / エレクトロブレイン / Pack-in-Video / Electro Brain / Sculptured Software,SHVC-LL,1993-11-05,Sports,Boxing
The Shinri Game - Akuma no Kokoroji,The 心理ゲーム 悪魔のココロジー,ヴィジット / 浮世亭 / Visit / Ukiyotei,SHVC-AK,1993-03-26,Simulation,Strategy
The Shinri Game 2 - Magical Trip,ザ・心理ゲーム2 〜マジカルトリップ〜,ヴィジット / Visit,SHVC-ASIJ-JPN,1995-02-10,Simulation,Strategy
The Shinri Game 3,ザ・心理ゲーム3,ヴィジット / Visit,SHVC-AK3J-JPN,1995-08-25,Simulation,Strategy
The Simpsons - Bart no Fushigi na Yume no Daibouken,バートの不思議な夢の大冒険,アクレイムジャパン / Acclaim Japan / Sculptured Software,SHVC-BN,1993-02-26,Platformer,Action
Theme Park,テーマパーク,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Bullfrog Productions,SHVC-ATQJ-JPN,1995-12-15,Strategy,
Thoroughbred Breeder,サラブレッドブリーダー,ヘクト / Hector,SHVC-TF,1993-08-27,Sports,Horse
Thoroughbred Breeder 2,サラブレッドブリーダーII,ヘクト / hector,SHVC-QW,1994-06-08,Sports,Horse
Thoroughbred Breeder 3,サラブレッドブリーダーIII,ヘクト / hector,SHVC-AIWJ-JPN,1996-10-18,Sports,Horse
Thunder Spirits,サンダースピリッツ,東芝EMI / テクノソフト / Toshiba EMI / Technosoft,SHVC-TH-(TOPN-2001) / SNS-TH,1991-12-27 / 1991-01-01,SHMUP,Horizontal
Thunderbirds - Kokusai Kyuujotai Shutsugeki Seyo!,サンダーバード 国際救助隊出撃せよ！！,"バンダイ, コブラ・チーム・チーム / Bandai, Cobra Team",SHVC-T5,1993-09-10,SHMUP,Horizontal
Time Cop,タイムコップ,"ビクターエンタテインメント / Victor Entertainment / Largo, Cryo",SHVC-ATCJ-JPN / SNS-ATCE-USA,1995-02-17,Platformer,
Tiny Toon Adventures - Buster Busts Loose,タイニートゥーン アドベンチャーズ,コナミ / Konami,SHVC-TA / SNS-TA,1992-12-18 / 1993-02-01,Platformer,
Tiny Toon Adventures - Dotabata Dai Undoukai,タイニー・トゥーン アドベンチャーズ ドタバタ大運動会,コナミ / Konami,SHVC-5Z,1994-09-30,Sports,
Tokimeki Memorial - Densetsu no Ki no Shita de,ときめきメモリアル 伝説の樹の下で,コナミ / Konami,SHVC-AM8J-JPN,1996-02-09,Visual Novel,
Tokoro's Mahjong,Tokoro's マージャン,ビック東海 / Vic Tokai,SHVC-ATMJ-JPN,1994-09-23,Table Game,Mahjong
Tom & Jerry,トムとジェリー,アルトロン / Altron,SHVC-TJ,1993-06-25,Platformer,
Top Management 2,トップマネジメントII,光栄 / Koei,SHVC-QC,1994-02-11,Strategy,
Top Racer,トップレーサー,ケムコ（コトブキシステム） / Kemco / Gremlin Graphics,SHVC-TR,1992-03-27,Sports,Street Racing
Top Racer 2,トップレーサー2,ケムコ（コトブキシステム） / Kemco / Gremlin Graphics,SHVC-2P,1993-12-22,Sports,Street Racing
Torneco no Daibouken - Fushigi no Dungeon,トルネコの大冒険 不思議のダンジョン,チュンソフト / Chun Soft,SHVC-TQ,1993-09-19,RPG,
Tottemo! Lucky Man - Lucky Cookie Roulette de Totsugeki!!,とっても！ラッキーマン! ラッキー クッキー ルーレットで突撃〜,バンダイ / Bandai,SHVC-ALAJ-JPN,1995-06-30,RPG,
Touge Densetsu Saisoku Battle,峠・伝説 最速バトル,ビー・ピー・エス / レナール / Bullet-Proof Software / Lenar,SHVC-ACQJ-JPN,1996-03-15,Racing,Moto
Tower Dream,タワードリーム,アスキー / ASCII,SHVC-AT9J-JPN,1996-10-25,Table Game,
Traverse - Starlight & Prairie,トラバース スターライト＆プライリア,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-A2SJ-JPN,1996-06-28,RPG,
Treasure Hunter G,トレジャーハンターG,スクウェア / スティング / Square / String,SHVC-AEGJ-JPN,1996-05-24,RPG,
Trinea,トリネア,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-T6,1993-10-01,RPG,Action
True Lies,トゥルーライズ,アクレイムジャパン / Acclaim Japan / Beam Software,SHVC-ATLJ-JPN / SNS-ATLE-USA,1995-04-28 / 1994-01-01,Shooter,First Person
Trump Island,トランプアイランド,パック・イン・ビデオ / Pack-in-Video,SHVC-LT / SNS-LT,1995-06-23,Table Game,Cards
Tsukikomori,晦－つきこもり,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-A7MJ-JPN,1996-03-01,Visual Novel,Horror
Tsuppari Oozumou - Risshin Shusse Hen,つっぱり大相撲 立身出世編,テクモ / テクモソフトプロダクツ / Tecmo / Tecmo Soft Products,SHVC-KW,1993-03-26,Sports,Sumo (相撲)
Tsuri Tarou,つり太郎,パック・イン・ビデオ / Pack-in-Video,SHVC-2O,1994-07-08,RPG,Fishing
Tsuyoshi Shikkarai Shinasai: Taisen Puzzle Dama,ツヨシしっかりしなさい 対戦ぱずるだま,コナミ / Konami,SHVC-ATPJ-JPN,1994-11-18,Puzzle,Matching
Turf Hero,ターフヒーロー,テクモ / Tecmo,SHVC-ATUJ-JPN,1995-03-21,Sports,Horse
Turf Memories,ターフメモリーズ,ベック / Interbec,SHVC-AYZJ-JPN,1995-02-24,Sports,Horse
TwinBee - Rainbow Bell Adventure,ツインビー レインボーベルアドベンチャー,コナミ / Konami,SHVC-T7,1994-01-07,Platformer,
Uchuu no Kishi - Tekkaman Blade,宇宙の騎士 テッカマンブレード,ベック / Interbec,SHVC-T8,1993-07-30,SHMUP,Horizontal
Uchuu Race - Astro Go! Go!,宇宙レース アストロ ゴー！ゴー！,メルダック / カゼ / Meldac / Kaze,SHVC-3A,1994-02-25,Racing,Fun
UFO Kamen Yakisoban - Kettler no Kuroi Inbou - Shihan Han,UFO仮面ヤキソバン ケトラーの黒い陰謀,デンズ（アイ・ティー・シー） / 電通 / DEN'Z(ITC) / Dentsu,SHVC-Y9,1994-10-14,Beat 'em All,
Ugoku E Ver. 2.0 - Aryol,うごく絵 Ver2.0 アリョール,アルトロン / Altron,SHVC-X3,1994-08-05,Puzzle,Puzzle
Ultima Gaiden - Kurokishi no Inbou,ウルティマ外伝 黒騎士の陰謀,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Origin Systems,SHVC-6V,1994-06-17,RPG,Action
Ultima Kyoryu Teikoku - The Savage Empire,ウルティマ 恐竜帝国 ザ・サベージ・エンパイア,ポニーキャニオン / Pony Canyon / Origin Systems,SHVC-AVGJ-JPN-(PCPE-00501),1995-07-28,RPG,
Ultima VI - Itsuwari no Yogensha,ウルティマVI 〜偽りの予言者〜,ポニーキャニオン / インフィニティー / オリジンシステムズ / Pony Canyon / Infinity / Origin Systems,SHVC-U6-(R98V5942),1992-04-03,RPG,
Ultima VII - The Black Gate,ウルティマVII ザ・ブラックゲート,ポニーキャニオン / オリジンシステムズ / Pony Canyon / Origin Systems,SHVC-7I-(R98V5950),1994-11-18,RPG,
Ultimate Football - Try Formation!,ウルティメイト フットボール,サミー / Sammy / Aicom,SHVC-UF,1992-07-24,Sports,Football
Ultra Baseball Jitsumei Ban 2,ウルトラベースボール 実名版2,カルチャーブレーン / Culture Brain,SHVC-ABJJ-JPN,1994-12-22,Sports,Baseball
Ultra Baseball Jitsumei Ban 3,ウルトラベースボール 実名版3,カルチャーブレーン / Culture Brain,SHVC-AU2J-JPN,1995-10-27,Sports,Baseball
Ultra Baseball Jitsumei Han,ウルトラベースボール 実名版,カルチャーブレーン （マイクロアカデミー） / Culture Brain (Micro Academy),SHVC-U2,1992-08-28,Sports,Baseball
Ultra League - Moero! Soccer Daikessen!!,ウルトラリーグ 燃えろ！サッカー大決戦！,ユタカ / トムクリエイト / Yutaka / Tom Create,SHVC-A7YJ-JPN,1995-07-28,Sports,Soccer
Ultra Seven,ウルトラセブン,バンダイ / Bandai,SHVC-U7,1993-03-26,Fighting,Versus
Ultraman,ウルトラマン,バンダイ / Bandai,SHVC-UM,1991-04-06,Fighting,Versus
Umi no Nushi Tsuri,海のぬし釣り,パック・イン・ビデオ / Pack-in-Video,SHVC-A6UJ-JPN,1996-07-19,Sports,Pêche
Umi Tsuri Meijin Suzuki Hen,海釣り名人 スズキ編,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / A Wave,SHVC-AUFJ-JPN,1994-12-16,Sports,Pêche
Umihara Kawase,海腹川背,ティー・エヌ・エヌ / TNN,SHVC-ATAJ-JPN,1994-12-23,Platformer,
Undake 30 Same Game Daisakusen - Mario Version,UNDAKE30 鮫亀大作戦 マリオバージョン,ハドソン / 任天堂 / Hudson / Nintendo,SHVC-ANZJ-JPN,1995-01-16,Puzzle,
Undercover Cops,アンダーカバーコップス,バリエ / アイレム / Varie / IREM,SHVC-AUCJ-JPN,1995-03-03,Beat 'em All,
USA Ice Hockey,U.S.A.アイスホッケー,"ジャレコ, デーシーイー / Jaleco, DCE / Argonaut",SHVC-UI,1993-03-19,Sports,Hockey
Ushio to Tora,うしおととら,バンダイ / ユタカ / Bandai / Yutaka,SHVC-UT,1993-01-25,Platformer,
Utopia - The Creation of a Nation,ユートピア,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-UP-(ESPG49) / SNS-UP,1993-10-29 / 1993-01-01,Strategy,
Verne World,ヴェルヌワールド,バンプレスト / デュアル / Banpresto / DUAL,SHVC-AVWJ-JPN,1995-09-29,RPG,
Viking no Daimeiwaku,バイキングの大迷惑,ティーアンドイーソフト / T&E Soft / Interplay / Silicon & Synapse,SHVC-VD,1993-10-08,Platformer,
Virtual Bart (Simpsons),バーチャルバート,アクレイムジャパン / Acclaim Japan / Sculptured Software,SHVC-AVBJ-JPN / SNS-AVBE-USA,1994-09-30 / 1994-09-01,Platformer,Action
Virtual Wars (The Lawnmower Man),バーチャルウォーズ,"ココナッツジャパン, GXメディア / Coconuts Japan, GX Media / Sales Curve Interactive",SHVC-VJ,1994-02-11,Platformer,Action
Volleyball Twin,ツイン バレーボールTwin,トンキンハウス（東京書籍） / Tonkin House (Tokyo Shoseki),SHVC-VT,1992-11-27,Sports,Volleyball
Vortex - The FX Robot Battle,ヴォルテックス ザ・FXロボットバトル,"パック・イン・ビデオ / Pack-In-Video / Argonaut Software, Electro Brain",SHVC-4V / SNS-4V,1994-12-09,SHMUP,Behind
VS. Collection,VS. コレクション,ボトムアップ / Bottom Up,SHVC-AU3J-JPN,1996-11-29,Puzzle,
Wagyan Paradise,ワギャンパラダイス,ナムコ / Namcot,SHVC-AWLJ-JPN,1994-12-16,Platformer,
Wakataka Oozumo: Yume no Kyoudai Taiketsu,若貴大相撲 夢の兄弟対決,イマジニア / トムキャットシステム / Imagineer / Tomcat System,SHVC-OW,1993-11-12,Sports,Sumo (相撲)
Waku Waku Ski Wonder Shoot,わくわくスキー わんだぁシュプール,ヒューマン / Human,SHVC-ASKJ-JPN,1995-01-13,Sports,Ski
Wally wo Sagase! - Ehon no Kuni no Daibouken,ウォーリーをさがせ！ 絵本の国の大冒険,トミー / オーパス / Tomy / Opus,SHVC-WA,1993-02-19,Puzzle,
Waratte Iitomo! Tamorin Pick,笑っていいとも！タモリンピック,アテナ / Athena,SHVC-55,1994-04-28,Gambling,
Warlock,ウォーロック,アクレイムジャパン / Acclaim Japan / Realtime Associates / Trimark Interactive,SHVC-AWKJ-JPN / SNS-AWKE-USA,1995-05-26 / 1994-01-01,Aventure,
Wedding Peach,ウェディングピーチ,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AWHJ-JPN,1995-09-29,Drague,Drague
Wild Guns,ワイルドガンズ,ナツメ / Natsume,SHVC-4W / SNS-4W,1994-08-12 / 1995-07-01,Shooter,Target
Wild Trax,ワイルドトラックス,任天堂 / Nintendo / Argonaut,SHVC-CQ,1994-06-04,Sports,Street Racing
Wing Commander,ウイングコマンダー,アスキー / ASCII / Origin Systems,SHVC-WC / SNS-WC,1993-07-23 / 1993-01-01,Strategy,
Winning Post,ウイニングポスト,光栄 / Koei,SHVC-WJ,1993-09-10,Sports,Horse
Winning Post 2,ウイニングポスト2,光栄 / Koei,SHVC-AWPJ-JPN,1995-03-18,Sports,Horse
Winning Post 2 - Program '96,ウイニングポスト2 プログラム'96,光栄 / Koei,SHVC-AW9J-JON,1996-10-04,Sports,Horse
Wizap! - Ankoku no Ou,ウィザップ！ 〜暗黒の王,アスキー / 酒田エス・エー・エス / ASCII / Sakata SAS,SHVC-WQ,1994-09-22,RPG,
Wizardry 6 - Bane of the Cosmic Forge,ウィザードリィVI 禁断の魔筆,アスキー / ゲームスタジオ / ASCII / Game Studio / Sir-Tech Software,SHVC-AW6J-JPN,1995-09-29,RPG,First Person
Wizardry Gaiden 4 - Throb of the Demon's Heart,ウィザードリィ・外伝IV 〜胎魔の鼓動〜,アスキー / アクセス / ASCII / Access,SHVC-AE4J-JPN,1996-09-20,RPG,
Wizardry I-II-III - Story of Llylgamyn,ウィザードリィI・II・III 〜Story of Llylgamyn〜,メディアファクトリー / ゲームスタジオ / Media Factory / Game Studio / Sir Tech,SHVC-BWZJ-JPN,1999-06-01,RPG,First Person
Wizardry V - Heart of the Maelstrom,ウィザードリィ・V 災禍（メイルストローム）の中心,アスキー / ゲームスタジオ / ASCII / Game Studio / Sir-tech Software,SHVC-W5 / SNS-W5,1992-11-20 / 1994-04-01,RPG,First Person
Wolfenstein 3D - The Claw of Eisenfaust,ウルフェンシュタイン3D,イマジニア / Imagineer / Id Software,SHVC-6W,1994-02-10,Shooter,First Person
Wolverine - Adamantium Rage,ウルヴァリン,"アクレイムジャパン / Acclaim Japan / LJN, Bits / Marvel Software",SHVC-AWXJ-JPN / SNS-AWXE-USA,1995-01-27 / 1994-01-01,Platformer,
Wonder Project J - Kikai no Shounen Pino,ワンダープロジェクトJ 機械の少年ピーノ,エニックス / アルマニック / Enix / Almanic,SHVC-APJJ-JPN,1994-12-09,RPG,Adventure
Wondrous Magic,ワンダラスマジック,アスキー / システムサコム / ASCII / System Sacom,SHVC-UH,1993-12-17,RPG,
World Class Rugby,ワールドクラス ラグビー,ミサワエンターテインメント / Misawa Entertainment / Audiogenic Software,SHVC-WY,1993-01-29,Sports,Rugby
World Class Rugby 2 - Kokunai Gekitou Hen '93,ワールドクラス ラグビー2 国内激闘編'93,ミサワエンターテインメント / Misawa Entertainment,SHVC-2R,1994-01-07,Sports,Rugby
World Cup Striker,ワールドカップストライカー,ココナッツジャパン / GXメディア / Coconuts Japan / GX Media,SHVC-5W,1994-06-17,Sports,Soccer
World Cup USA '94,ワールドカップUSA94,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Tiertex / U.S. Gold,SHVC-U4,1994-07-29,Sports,Soccer
World Heroes,ワールドヒーローズ,"サンソフト（サン電子） / エス・エヌ・ケイ, エー・ディー・ケイ / Sunsoft (Sun Electronics) / SNK, ADK",SHVC-WZ / SNS-WZ,1993-08-12 / 1993-01-01,Fighting,Versus
World Heroes 2,ワールドヒーローズ2,"ザウルス / エス・エヌ・ケイ, エー・ディー・ケイ / Saurus / SNK, ADK",SHVC-JI / SNS-JI,1994-07-01 / 1994-01-01,Fighting,Versus
World Soccer,ワールドサッカー,"ココナッツジャパン, GXメディア / Coconuts Japan, GX Media / RAGE Software",SHVC-WO,1993-07-16,Sports,Soccer
